,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
CTTNBP2,CTTNBP2,CTTNBP2,CTTNBP2,-0.0436,0.23344647884368896,0.12122253396397273,0.11694367142230358,0.17038642727207728,19.588807536196,2.1385247164136834,0.3100525736808777,0.17624321579933167,0.261864225826487,0.0,0.0,0.34586387931972035,0.8768723125259523,0.4896856820740705,0.7881698580164112,4.941059637641504,True,0.7548370534996157,26
SFMBT2,SFMBT2,SFMBT2,SFMBT2,-0.056,0.612124115228653,0.47692279467385135,0.3080668502740167,0.5365455544319401,6.673198456298412,1.1584863951802253,0.3287494480609894,0.13089120388031006,0.20951769610618987,0.0,0.0,0.4866243239585906,1.0765009229268538,0.529749079968716,1.010985604972979,1.2924104856417302,True,0.7802571578794307,0
FOXP2,FOXP2,FOXP2,FOXP2,0.0957,0.2760431170463562,0.05669451721217525,0.20043373437767095,0.2630769926311698,9.773968016755475,2.0898648589849467,0.0942414402961731,0.055240780115127563,0.22161073459715366,0.0,0.0,0.2798594860334813,0.26747189471033433,0.15484432872095755,0.9694499959838647,2.506687974633904,True,0.47241879909619755,0
GPR85,GPR85,GPR85,GPR85,-0.068,0.11222577095031738,0.143242064690877,1.2925542386500892,0.23902235440245895,7.635793811275731,0.5047080349177122,0.04702751711010933,0.1320793479681015,0.19583931457748158,0.0,0.0,0.3124294324095098,0.14439136586002627,0.3519848884195732,1.0150020814271314,2.1728716452527643,True,0.4459306232143234,0
IFRD1,IFRD1,IFRD1,IFRD1,0.0164,-0.12861037254333496,,,,,,,,,,,,,,,,False,0.12826273952478037,0
ZNF277,ZNF277,ZNF277,ZNF277,0.0,-0.2488950490951538,,,,,,,,,,,,,,,,False,0.07189149766364494,0
THAP5,THAP5,THAP5,THAP5,0.0013,-0.32926368713378906,,,,,,,,,,,,,,,,False,0.0586755683030646,0
PNPLA8,PNPLA8,PNPLA8,PNPLA8,-0.0189,-0.13625085353851318,,,,,,,,,,,,,,,,False,0.36181141802044825,0
NRCAM,NRCAM,NRCAM,NRCAM,0.0139,-0.06599044799804688,,,,,,,,,,,,,,,,False,0.6504218799009629,0
GXYLT1,GXYLT1,GXYLT1,GXYLT1,0.0272,-0.0760582685470581,,,,,,,,,,,,,,,,False,0.3515980840181133,0
YAF2,YAF2,YAF2,YAF2,0.0327,0.7149751484394073,2.3510142436029176,2.1312208568702844,0.504978772667684,10.090533295925981,0.12837534673511983,0.2661328911781311,0.9795322418212891,0.28988501247448484,0.0,0.0,0.49286948990599727,0.9176894706818103,2.7860209580896234,0.5781725374432579,1.6447595869791671,True,0.5304342238978231,0
ZCRB1,ZCRB1,ZCRB1,ZCRB1,0.0874,0.08176678419113159,0.28744519655223766,1.8769211075996224,0.23365313606267055,13.964975570198742,0.1971957553178072,0.049774713814258575,0.2782849967479706,0.21043032754549224,0.0,0.0,0.4450438679820856,0.1553767214831093,0.9876659137421641,1.2403374901327764,2.836911045949453,True,0.2541418320875822,0
PRICKLE1,PRICKLE1,PRICKLE1,PRICKLE1,-0.0095,-0.7549620866775513,,,,,,,,,,,,,,,,False,0.08933816526999337,0
PUS7L,PUS7L,PUS7L,PUS7L,-0.0345,-0.30803847312927246,,,,,,,,,,,,,,,,False,0.109025211530041,0
TMEM117,TMEM117,TMEM117,TMEM117,-0.0118,-1.1851420402526855,,,,,,,,,,,,,,,,False,0.2518517786982668,0
SLC38A1,SLC38A1,SLC38A1,SLC38A1,-0.0396,-0.6005922555923462,,,,,,,,,,,,,,,,False,0.09354385255781485,0
SLC38A2,SLC38A2,SLC38A2,SLC38A2,-0.095,0.2087683081626892,0.6653525372557809,0.6619254733813316,0.2394149468134928,11.279117020260209,0.26907885029911993,0.27355697751045227,0.48036354780197144,0.2168005545541758,0.0,0.0,0.42612531973041745,0.9535827226102549,1.8908189190872784,1.1357509629968037,2.5265264877952145,True,0.430207519286489,23
RPAP3,RPAP3,RPAP3,RPAP3,0.0227,-0.18601977825164795,,,,,,,,,,,,,,,,False,0.11601255110387722,0
ATP23,ATP23,ATP23,ATP23,0.0071,-0.0856025218963623,,,,,,,,,,,,,,,,False,0.0,0
LRIG3,LRIG3,LRIG3,LRIG3,0.0379,0.014431416988372803,0.020646202866054696,0.058676960898451584,0.165034889816725,7.770962316475597,8.616815793514256,0.12925761938095093,0.018375765532255173,0.25150461539828517,0.0,0.0,0.06786098656975306,0.30534006103099176,0.05868358251735054,0.699915474377185,2.422822888517294,False,0.4144189033791411,0
SLC16A7,SLC16A7,SLC16A7,SLC16A7,-0.0733,0.49717259407043457,0.10057550770417106,0.05935075451653948,0.15436527061370986,19.357876677469786,4.57573279440403,0.5976433157920837,0.1653323918581009,0.30251795961161204,0.0,0.0,0.25321064296388474,1.5285532590457398,0.4099970870683419,0.6190954898557766,4.661112960215507,True,0.827609617405236,13
PPM1H,PPM1H,PPM1H,PPM1H,0.0047,-0.036787986755371094,,,,,,,,,,,,,,,,False,0.5925151959847658,0
TMEM5,TMEM5,TMEM5,TMEM5,0.0012,-0.3449678421020508,,,,,,,,,,,,,,,,False,0.089320688543315,0
