,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
ATP6AP1,ATP6AP1,ATP6AP1,ATP6AP1,0.1452,-0.2532365322113037,,,,,,,,,,,,,,,,False,0.4324951050007187,0
CADPS2,CADPS2,CADPS2,CADPS2,0.026,-0.023987531661987305,,,,,,,,,,,,,,,,False,0.5734911562138498,0
FAM3C,FAM3C,FAM3C,FAM3C,0.0418,0.02688688039779663,0.21449905514452677,1.1854294895455473,0.22792131730026693,11.39146272986879,0.35624401807785033,0.05823275074362755,0.19356754422187805,0.20378229791611582,0.0,0.0,0.4464672124490545,0.1892496865597721,0.6470021971276607,1.269272371491878,2.6705469982689323,True,0.3784373491124029,0
ING3,ING3,ING3,ING3,0.0134,-0.28192663192749023,,,,,,,,,,,,,,,,False,0.29358293545945036,0
TSPAN12,TSPAN12,TSPAN12,TSPAN12,0.0243,-0.45895636081695557,,,,,,,,,,,,,,,,False,0.22597816417094962,0
KCND2,KCND2,KCND2,KCND2,0.0365,-1.0667200088500977,,,,,,,,,,,,,,,,False,0.3179903483442806,0
ANKRD26,ANKRD26,ANKRD26,ANKRD26,-0.0583,-0.1644589900970459,,,,,,,,,,,,,,,,False,0.21899155050841562,0
LSM8,LSM8,LSM8,LSM8,0.1083,0.10722106695175171,0.2614895498505117,2.4736919615015713,0.18034629408158198,10.504516067946831,0.1718464236706495,0.041257038712501526,0.2940990626811981,0.18961720924367692,0.0,0.0,0.4056086018861771,0.12427323078564706,1.0463380260585713,1.4411123086301965,2.8817080024027892,True,0.3430303191584717,23
CTTNBP2,CTTNBP2,CTTNBP2,CTTNBP2,-0.0945,0.6036157608032227,0.14336950423776396,0.08367341864368777,0.13464588149177528,20.189562086398592,2.561695535977681,0.5633485317230225,0.2565644383430481,0.31694776137944497,0.0,0.0,0.416024999246102,1.4676060036318364,0.66225217194457,0.5524781005549668,5.4429176656285225,True,0.8627900995785148,21
SFMBT2,SFMBT2,SFMBT2,SFMBT2,-0.0851,0.7845700085163116,0.5860663138776012,0.2548740800732971,0.6493858945630357,6.488468504497969,1.4991234040260315,0.6053172945976257,0.18775808811187744,0.28035066629696154,0.0,0.0,0.47111879726158956,1.7696930934042685,0.5349869913951462,0.6502697364657302,1.1747957386266372,True,0.8548702906940077,14
FOXP2,FOXP2,FOXP2,FOXP2,0.1091,0.5394100248813629,0.1158594167496735,0.2552252708151398,0.29093340463205475,8.514333769429077,2.326982536911964,0.1690519154071808,0.10885174572467804,0.2904105495756984,0.0,0.0,0.28446701295309734,0.4067006961730399,0.2728604551501058,0.6435255770621543,2.3193954994551413,True,0.693133213222798,29
GPR85,GPR85,GPR85,GPR85,-0.0578,0.23318088054656982,0.34690754179132893,1.5814509238927428,0.3730782470771071,5.011001068727776,0.17754084952175617,0.06158887594938278,0.1639101356267929,0.23362060259094125,0.0,0.0,0.39373756903126444,0.1780054196952493,0.4333122409398443,0.9834201821453216,1.6027231162992568,True,0.5251130505292205,0
IFRD1,IFRD1,IFRD1,IFRD1,0.0744,-0.1256641149520874,,,,,,,,,,,,,,,,False,0.19152146433792835,0
ZNF277,ZNF277,ZNF277,ZNF277,-0.0169,-0.18194282054901123,,,,,,,,,,,,,,,,False,0.1600692274197837,0
THAP5,THAP5,THAP5,THAP5,-0.0124,-0.40951812267303467,,,,,,,,,,,,,,,,False,0.12373438436944173,0
PNPLA8,PNPLA8,PNPLA8,PNPLA8,-0.0204,-0.17274892330169678,,,,,,,,,,,,,,,,False,0.349286911926695,0
NRCAM,NRCAM,NRCAM,NRCAM,0.0573,0.4730522632598877,0.24960260448357566,0.05983025032869386,0.3450765165530189,8.475835315974365,3.5360540556907654,0.9697154760360718,0.12752002477645874,0.28467514888811674,0.0,0.0,0.3002613325433907,3.3492298356149615,0.39679605827731046,0.6835763534611639,2.121708434018579,True,0.7472277659258751,0
GXYLT1,GXYLT1,GXYLT1,GXYLT1,0.0587,-0.14528512954711914,,,,,,,,,,,,,,,,False,0.44550376317386126,0
YAF2,YAF2,YAF2,YAF2,0.0361,0.8072008043527603,3.8202241601215627,2.723440045981902,0.70696209418832,9.93532129515061,0.13048184104263783,0.3564707338809967,1.2908495664596558,0.3278385935802022,0.0,0.0,0.4950254413522674,1.331224631305789,4.925606708074438,0.42386562113655596,1.2663233612986664,True,0.7171219795584798,24
ZCRB1,ZCRB1,ZCRB1,ZCRB1,0.1104,0.01853656768798828,0.43575918326789725,2.1551676605518453,0.2576686824680768,10.460555677305944,0.2395283538848162,0.06265910714864731,0.3204522728919983,0.21349612437185952,0.0,0.0,0.3960090853296127,0.1946138904051031,1.1618941200190576,1.2315447017716046,2.373001961532027,True,0.19814885723707934,0
PRICKLE1,PRICKLE1,PRICKLE1,PRICKLE1,0.0033,-0.6834875345230103,,,,,,,,,,,,,,,,False,0.11416852957556116,0
PUS7L,PUS7L,PUS7L,PUS7L,0.0008,-0.1910240650177002,,,,,,,,,,,,,,,,False,0.1898224307706253,0
TMEM117,TMEM117,TMEM117,TMEM117,-0.0197,-0.6102961301803589,,,,,,,,,,,,,,,,False,0.39285043983819373,0
SLC38A1,SLC38A1,SLC38A1,SLC38A1,0.0052,-0.5674774646759033,,,,,,,,,,,,,,,,False,0.1365158928790382,0
SLC38A2,SLC38A2,SLC38A2,SLC38A2,-0.0766,0.017307758331298828,0.9033249092987781,1.0472593082381638,0.3366458501728407,11.189550710366635,0.24116584539413452,0.26815927028656006,0.5170469284057617,0.2288861589718386,0.0,0.0,0.4086655075178081,0.9226273028009816,2.328385078958396,1.0767550973099227,1.8661419953782337,True,0.4099610307113899,0
AMIGO2,AMIGO2,AMIGO2,AMIGO2,0.0066,0.03413504362106323,0.034281895942269575,0.3822241422666142,0.1980643941490306,7.210160423375685,0.9682032054662705,0.02718113549053669,0.030951356515288353,0.06022626862506719,0.0,0.0,0.21393169434480075,0.09467818320509366,0.12032499477459953,1.7880605761704582,2.837296146248694,True,0.2678556135812689,0
RPAP3,RPAP3,RPAP3,RPAP3,0.0174,-0.23656928539276123,,,,,,,,,,,,,,,,False,0.0,0
ATP23,ATP23,ATP23,ATP23,-0.0174,-0.07805943489074707,,,,,,,,,,,,,,,,False,0.043796909876280786,0
LRIG3,LRIG3,LRIG3,LRIG3,0.0413,0.16950249671936035,0.014952842436644728,0.035732640411656066,0.07786208997896596,23.611492229499685,5.680166220664978,0.15672357380390167,0.032672781497240067,0.23644060621228305,0.0,0.0,0.017090921112575302,0.40039865530676566,0.09441129948365792,0.9087789741641639,5.556449595372203,True,0.5608978728116987,36
SLC16A7,SLC16A7,SLC16A7,SLC16A7,-0.0284,0.4540611505508423,0.06866197289078181,0.047988878011461344,0.15760083292907362,15.787257281291001,5.019542630910873,0.5049002170562744,0.11089705675840378,0.23543988584278194,0.0,0.0,0.26505962610550915,1.3218025492702168,0.3094675072693619,0.9673266856868405,4.358976782972184,True,0.7982267439484131,15
PPM1H,PPM1H,PPM1H,PPM1H,-0.0151,-0.30416572093963623,,,,,,,,,,,,,,,,False,0.46017436442050924,0
TMEM5,TMEM5,TMEM5,TMEM5,0.0321,-0.31265127658843994,,,,,,,,,,,,,,,,False,0.044511230728796224,0
